"keyName","value","prob","cont_prob"
"arcane meaningless regulation among",1,0.000186601977980967,0.250139951483486
"weeks various people just",1,0.000186601977980967,0.25
"various people just waking",1,0.000186601977980967,0.25
"looked almost zombie like",1,0.000186601977980967,0.25
"almost zombie like blank",1,0.000186601977980967,0.25
"zombie like blank stares",1,0.000186601977980967,0.25
"like blank stares just",1,0.000186601977980967,0.25
"blank stares just leaving",1,0.000186601977980967,0.25
"older children along side",1,0.000186601977980967,0.25
"josef strauss delirien waltz",1,0.000186601977980967,0.25
"ving rhames bruce willis",1,0.000186601977980967,0.25
"call pulp fiction's indie",1,0.000186601977980967,0.25
"pulp fiction's indie crime",1,0.000186601977980967,0.25
"fiction's indie crime thriller",1,0.000186601977980967,0.25
"indie crime thriller properly",1,0.000186601977980967,0.25
"crime thriller properly mainstream",1,0.000186601977980967,0.25
"thriller properly mainstream still",1,0.000186601977980967,0.25
"properly mainstream still pulp",1,0.000186601977980967,0.25
"mainstream still pulp fiction",1,0.000186601977980967,0.25
"still pulp fiction spoofs",1,0.000186601977980967,0.25
"pulp fiction spoofs aside",1,0.000186601977980967,0.25
"occasional horror flick namely",1,0.000186601977980967,0.25
"horror flick namely shit",1,0.000186601977980967,0.25
"flick namely shit like",1,0.000186601977980967,0.25
"namely shit like candyman",1,0.000186601977980967,0.25
"lyla garrity minka kelly",1,0.000186601977980967,0.25
"garrity minka kelly cheerleader",1,0.000186601977980967,0.25
"starting quarterback jason street",1,0.000186601977980967,0.25
"atlanta journal constitution reported",1,0.000186601977980967,0.25
"double lot hilarious yes",1,0.000186601977980967,0.25
"lot hilarious yes darling",1,0.000186601977980967,0.25
"obviously missing something important",1,0.000186601977980967,0.25
"missing something important though",1,0.000186601977980967,0.25
"chicken breasts cooked shredded",1,0.000186601977980967,0.25
"wings reel classics box",1,0.000186601977980967,0.25
"participating cinemark theater near",1,0.000186601977980967,0.25
"may know extraneous details",1,0.000186601977980967,0.25
"love sharing great stories",1,0.000186601977980967,0.25
"second disc includes lumet",1,0.000186601977980967,0.25
"films lumet also shares",1,0.000186601977980967,0.25
"lawrenceburg indiana just west",1,0.000186601977980967,0.25
"ricky gervais analyzed peter",1,0.000186601977980967,0.25
"sound markets impose cause",1,0.000186601977980967,0.25
"free market generates will",1,0.000186601977980967,0.25
"original gospels matthew mark",1,0.000186601977980967,0.25
"gospels matthew mark luke",1,0.000186601977980967,0.25
"luke chapter cf luke",1,0.000186601977980967,0.25
"used judikins stampers anonymous",1,0.000186601977980967,0.25
"russian spittle licking suits",1,0.000186601977980967,0.25
"large arizona barker scorpion",1,0.000186601977980967,0.25
"arizona barker scorpion ran",1,0.000186601977980967,0.25
"barker scorpion ran past",1,0.000186601977980967,0.25
"back rv jacks equal",1,0.000186601977980967,0.25
"rv jacks equal amount",1,0.000186601977980967,0.25
"ebenezer scrooge like attitude",1,0.000186601977980967,0.25
"scrooge like attitude towards",1,0.000186601977980967,0.25
"eleven year old jeromy",1,0.000186601977980967,0.25
"year old jeromy bleamy",1,0.000186601977980967,0.25
"mostly wise sometimes precocious",1,0.000186601977980967,0.25
"grain ten weeks prior",1,0.000186601977980967,0.25
"lbs per head per",1,0.000186601977980967,0.25
"per head per day",1,0.000186601977980967,0.25
"dry rolled corn barley",1,0.000186601977980967,0.25
"rolled corn barley mix",1,0.000186601977980967,0.25
"hot feed like soybean",1,0.000186601977980967,0.25
"feed like soybean meal",1,0.000186601977980967,0.25
"history curator politics lobbyist",1,0.000186601977980967,0.25
"curator politics lobbyist science",1,0.000186601977980967,0.25
"politics lobbyist science microbiologist",1,0.000186601977980967,0.25
"lobbyist science microbiologist based",1,0.000186601977980967,0.25
"working hard keeping earned",1,0.000186601977980967,0.25
"hard keeping earned money",1,0.000186601977980967,0.25
"latest cricut com deals",1,0.000186601977980967,0.25
"many short standalone aphorisms",1,0.000186601977980967,0.25
"rabbi rami m shapiro",1,0.000186601977980967,0.25
"much economic wise positive",1,0.000186601977980967,0.25
"temescal recently hats lots",1,0.000186601977980967,0.25
"experience often frizzy haired",1,0.000186601977980967,0.25
"often frizzy haired academics",1,0.000186601977980967,0.25
"frizzy haired academics use",1,0.000186601977980967,0.25
"haired academics use cultural",1,0.000186601977980967,0.25
"academics use cultural boycotts",1,0.000186601977980967,0.25
"frizzy haired university tutor",1,0.000186601977980967,0.25
"tirosh becker also publishes",1,0.000186601977980967,0.25
"rabbi shimon b yohai",1,0.000186601977980967,0.25
"fourteenth century yemenite midrash",1,0.000186601977980967,0.25
"century yemenite midrash hagadol",1,0.000186601977980967,0.25
"yemenite midrash hagadol twice",1,0.000186601977980967,0.25
"tirosh becker actually support",1,0.000186601977980967,0.25
"becker actually support hoffmann's",1,0.000186601977980967,0.25
"cases see e g",1,0.000186601977980967,0.25
"see e g pp",1,0.000186601977980967,0.25
"moved things mostly filled",1,0.000186601977980967,0.25
"things mostly filled rather",1,0.000186601977980967,0.25
"public schools handle bullying",1,0.000186601977980967,0.25
"just plain worth less",1,0.000186601977980967,0.25
"raw veggies green pepper",1,0.000186601977980967,0.25
"veggies green pepper capsicum",1,0.000186601977980967,0.25
"green pepper capsicum onion",1,0.000186601977980967,0.25
"pepper capsicum onion cilantro",1,0.000186601977980967,0.25
"capsicum onion cilantro carrot",1,0.000186601977980967,0.25
"onion cilantro carrot spinach",1,0.000186601977980967,0.25
"consistent long term strategy",1,0.000186601977980967,0.25
"undermining anglo saxon protestant",1,0.000186601977980967,0.25
"anglo saxon protestant hegemony",1,0.000186601977980967,0.25
"developed ethnic free riding",1,0.000186601977980967,0.25
"non white masses flooding",1,0.000186601977980967,0.25
"christmas sandwich cremes butterscotch",1,0.000186601977980967,0.25
"sandwich cremes butterscotch icebox",1,0.000186601977980967,0.25
"cremes butterscotch icebox cookies",1,0.000186601977980967,0.25
"browned butter sugar cookies",1,0.000186601977980967,0.25
"amused eyebrow greg's talking",1,0.000186601977980967,0.25
"beyond payton often states",1,0.000186601977980967,0.25
"payton often states dj's",1,0.000186601977980967,0.25
"often states dj's continue",1,0.000186601977980967,0.25
"lay groundwork involving several",1,0.000186601977980967,0.25
"groundwork involving several different",1,0.000186601977980967,0.25
"involving several different aspects",1,0.000186601977980967,0.25
"dj sniper squad dj's",1,0.000186601977980967,0.25
"sniper squad dj's continue",1,0.000186601977980967,0.25
"internationally transcending well beyond",1,0.000186601977980967,0.25
"music sniper squad dj's",1,0.000186601977980967,0.25
"sniper squad dj's can",1,0.000186601977980967,0.25
"internet radio mixtapes club",1,0.000186601977980967,0.25
"tour dj's expansion will",1,0.000186601977980967,0.25
"dj's expansion will include",1,0.000186601977980967,0.25
"expansion will include select",1,0.000186601977980967,0.25
"will include select industry",1,0.000186601977980967,0.25
"include select industry tastemakers",1,0.000186601977980967,0.25
"sniper squad dj's believe",1,0.000186601977980967,0.25
"step sauce cheese wrap",1,0.000186601977980967,0.25
"sauce cheese wrap label",1,0.000186601977980967,0.25
"cheese wrap label place",1,0.000186601977980967,0.25
"article also includes pictures",1,0.000186601977980967,0.25
"find fitted t shirt",1,0.000186601977980967,0.25
"fitted t shirt knits",1,0.000186601977980967,0.25
"t shirt knits make",1,0.000186601977980967,0.25
"particularly slimming non fitted",1,0.000186601977980967,0.25
"slimming non fitted tees",1,0.000186601977980967,0.25
"non fitted tees make",1,0.000186601977980967,0.25
"look wider also regardless",1,0.000186601977980967,0.25
"uncle sam just recently",1,0.000186601977980967,0.25
"sam just recently gave",1,0.000186601977980967,0.25
"just recently gave back",1,0.000186601977980967,0.25
"interest free throughout last",1,0.000186601977980967,0.25
"free throughout last year",1,0.000186601977980967,0.25
"great birthday gift lined",1,0.000186601977980967,0.25
"mother jones passed away",1,0.000186601977980967,0.25
"jones passed away today",1,0.000186601977980967,0.25
"leader must possess without",1,0.000186601977980967,0.25
"office planning decision making",1,0.000186601977980967,0.25
"good old fashion thank",1,0.000186601977980967,0.25
"several la nina cooling",1,0.000186601977980967,0.25
"la nina cooling events",1,0.000186601977980967,0.25
"warming el nino events",1,0.000186601977980967,0.25
"el nino events fear",1,0.000186601977980967,0.25
"g m restaurant near",1,0.000186601977980967,0.25
"m restaurant near bwi",1,0.000186601977980967,0.25
"restaurant near bwi airport",1,0.000186601977980967,0.25
"crab cakes widely believed",1,0.000186601977980967,0.25
"r n b best",1,0.000186601977980967,0.25
"always hear parents talking",1,0.000186601977980967,0.25
"handle change well now",1,0.000186601977980967,0.25
"change well now every",1,0.000186601977980967,0.25
"well now every aspect",1,0.000186601977980967,0.25
"first chapter's colour pages",1,0.000186601977980967,0.25
"last chapter's one colour",1,0.000186601977980967,0.25
"chapter's one colour page",1,0.000186601977980967,0.25
"really high quality drawings",1,0.000186601977980967,0.25
"high quality drawings akamatsu",1,0.000186601977980967,0.25
"random automated email listing",1,0.000186601977980967,0.25
"believe wa residents actually",1,0.000186601977980967,0.25
"unfinished projects letting go",1,0.000186601977980967,0.25
"ultimate romantic notion loving",1,0.000186601977980967,0.25
"romantic notion loving someone",1,0.000186601977980967,0.25
"trust owns around miles",1,0.000186601977980967,0.25
"carrying another miracle every",1,0.000186601977980967,0.25
"another miracle every night",1,0.000186601977980967,0.25
"one fun times ahead",1,0.000186601977980967,0.25
"salt hurt like heck",1,0.000186601977980967,0.25
"mulv like contaminant virus",1,0.000186601977980967,0.25
"like contaminant virus surprisingly",1,0.000186601977980967,0.25
"gotta read ashen stars",1,0.000186601977980967,0.25
"work feeling completely hollowed",1,0.000186601977980967,0.25
"just writing yelp reviews",1,0.000186601977980967,0.25
"perfectly functional polaroid sx",1,0.000186601977980967,0.25
"practices maybe record something",1,0.000186601977980967,0.25
"maybe record something make",1,0.000186601977980967,0.25
"spent two nights per",1,0.000186601977980967,0.25
"two nights per week",1,0.000186601977980967,0.25
"o b e becasue",1,0.000186601977980967,0.25
"sweet handsome talented husband",1,0.000186601977980967,0.25
"handsome talented husband helped",1,0.000186601977980967,0.25
"many days sorry complained",1,0.000186601977980967,0.25
"sun's magnetic field becoming",1,0.000186601977980967,0.25
"magnetic field becoming twisted",1,0.000186601977980967,0.25
"can produce coronal mass",1,0.000186601977980967,0.25
"produce coronal mass ejections",1,0.000186601977980967,0.25
"department death agents got",1,0.000186601977980967,0.25
"death agents got knocked",1,0.000186601977980967,0.25
"tickertape qal can vouch",1,0.000186601977980967,0.25
"hollywood silent films star",1,0.000186601977980967,0.25
"speaking singing screaming cinema",1,0.000186601977980967,0.25
"always loved george valentin",1,0.000186601977980967,0.25
"real persons like rodolfo",1,0.000186601977980967,0.25
"persons like rodolfo valentino",1,0.000186601977980967,0.25
"new cinema happy ending",1,0.000186601977980967,0.25
"just getting enough practice",1,0.000186601977980967,0.25
"idea behind giving water",1,0.000186601977980967,0.25
"deeply reveals something new",1,0.000186601977980967,0.25
"armageddon will surely commence",1,0.000186601977980967,0.25
"least indentured servants black",1,0.000186601977980967,0.25
"indentured servants black slaves",1,0.000186601977980967,0.25
"descriptive text viewers might",1,0.000186601977980967,0.25
"text viewers might think",1,0.000186601977980967,0.25
"closer inspection however readers",1,0.000186601977980967,0.25
"inspection however readers might",1,0.000186601977980967,0.25
"however readers might see",1,0.000186601977980967,0.25
"readers might see small",1,0.000186601977980967,0.25
"might see small deviations",1,0.000186601977980967,0.25
"cup pumpkin puree fresh",1,0.000186601977980967,0.25
"independent names mark reynolds",1,0.000186601977980967,0.25
"look like property receivers",1,0.000186601977980967,0.25
"rogers street firehouse deadline",1,0.000186601977980967,0.25
"information contact urbanartspace bloomington",1,0.000186601977980967,0.25
"home owner's association hoa",1,0.000186601977980967,0.25
"owner's association hoa neighborhood",1,0.000186601977980967,0.25
"spirit god's washing taking",1,0.000186601977980967,0.25
"high quality dog food",1,0.000186601977980967,0.25
"number one spot goes",1,0.000186601977980967,0.25
